book,bookLabel,authorLabel,publisherLabel,countryLabel,year,languageLabel,genreLabel
http://www.wikidata.org/entity/Q7743190,Чёрный камень,Майкл Муркок,Lancer Books,США,1967,английский язык,фэнтези
http://www.wikidata.org/entity/Q7767261,Древо жизни,Гай Гэвриел Кей,McClelland & Stewart,Канада,1984,английский язык,фэнтези
http://www.wikidata.org/entity/Q5684866,Hawk of May,Gillian Bradshaw,New American Library,США,1980,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7980334,Weird Tales 2,Лин Картер,Kensington Books,США,1975,английский язык,фэнтези
http://www.wikidata.org/entity/Q25493695,Paradox Lost,Фредерик Браун,Kinneret Zmora-Bitan Dvir,Израиль,1981,английский язык,научная фантастика
http://www.wikidata.org/entity/Q5384529,Equinox,Сэмюэль Дилэни,Lancer Books,США,1973,английский язык,фэнтези
http://www.wikidata.org/entity/Q7747732,The Little Tales of Smethers and Other Stories,"Эдвард Планкетт, 18-й барон Дансени",Jarrolds,Великобритания,1952,английский язык,фэнтези
http://www.wikidata.org/entity/Q7980335,Weird Tales 3,Лин Картер,Kensington Books,США,1981,английский язык,фэнтези
http://www.wikidata.org/entity/Q5273778,Dickson!,Гордон Диксон,NESFA Press,США,1984,английский язык,научная фантастика
http://www.wikidata.org/entity/Q7760126,The Reluctant Shaman and Other Fantastic Tales,Лайон Спрэг де Камп,Jove Books,США,1970,английский язык,фэнтези
http://www.wikidata.org/entity/Q2891156,Роза ветров,Урсула Крёбер Ле Гуин,Pendragon Press,США,1982,английский язык,фэнтези
http://www.wikidata.org/entity/Q23307134,Moonstar Odyssey,Дэвид Герролд,New American Library,США,1977,английский язык,научная фантастика
http://www.wikidata.org/entity/Q1771810,Волшебник Земноморья,Урсула Крёбер Ле Гуин,Kinneret Zmora-Bitan Dvir,Израиль,1968,английский язык,фэнтези
http://www.wikidata.org/entity/Q7045093,No Time Like Tomorrow,Брайан Олдис,New American Library,США,1959,английский язык,научная фантастика
